Site Server -- > SMS Provider,RPC,1,Tcp
Site Server -- > SMS Provider,RPC Endpoint Mapper,135,Tcp
Site Server -- > SMS Provider,Server Message Block (SMB),445,Tcp
Site Server -- > SQL Server,SQL over TCP,1433,Tcp
Site Server -- > SQL Server (During Installation),RPC,1,Tcp
Site Server -- > SQL Server (During Installation),RPC Endpoint Mapper,135,Tcp
Site Server -- > SQL Server (During Installation),Server Message Block (SMB),445,Tcp
Site Server < -- > Application Catalog Web Service Point,RPC,1,Tcp
Site Server < -- > Application Catalog Web Service Point,RPC Endpoint Mapper,135,Tcp
Site Server < -- > Application Catalog Web Service Point,Server Message Block (SMB),445,Tcp
Site Server < -- > Application Catalog Website Point,RPC,1,Tcp
Site Server < -- > Application Catalog Website Point,RPC Endpoint Mapper,135,Tcp
Site Server < -- > Application Catalog Website Point,Server Message Block (SMB),445,Tcp
Site Server < -- > Asset Intelligence Synchronization Point,RPC,1,Tcp
Site Server < -- > Asset Intelligence Synchronization Point,RPC Endpoint Mapper,135,Tcp
Site Server < -- > Asset Intelligence Synchronization Point,Server Message Block (SMB),445,Tcp
Site Server < -- > Certificate Registration Point,RPC,1,Tcp
Site Server < -- > Certificate Registration Point,RPC Endpoint Mapper,135,Tcp
Site Server < -- > Certificate Registration Point,Server Message Block (SMB),445,Tcp
Site Server < -- > Endpoint Protection Point,RPC,1,Tcp
Site Server < -- > Endpoint Protection Point,RPC Endpoint Mapper,135,Tcp
Site Server < -- > Endpoint Protection Point,Server Message Block (SMB),445,Tcp
Site Server < -- > Enrollment Point,RPC,1,Tcp
Site Server < -- > Enrollment Point,RPC Endpoint Mapper,135,Tcp
Site Server < -- > Enrollment Point,Server Message Block (SMB),445,Tcp
Site Server < -- > Enrollment Proxy Point,RPC,1,Tcp
Site Server < -- > Enrollment Proxy Point,RPC Endpoint Mapper,135,Tcp
Site Server < -- > Enrollment Proxy Point,Server Message Block (SMB),445,Tcp
Site Server < -- > Fallback Status Point,RPC,1,Tcp
Site Server < -- > Fallback Status Point,RPC Endpoint Mapper,135,Tcp
Site Server < -- > Fallback Status Point,Server Message Block (SMB),445,Tcp
Site Server < -- > Issuing Certification Authority (CA),RPC,1,Tcp
Site Server < -- > Issuing Certification Authority (CA),RPC Endpoint Mapper,135,Tcp
Site Server < -- > Reporting Services Point,RPC,1,Tcp
Site Server < -- > Reporting Services Point,RPC Endpoint Mapper,135,Tcp
Site Server < -- > Reporting Services Point,Server Message Block (SMB),445,Tcp
Site Server < -- > Site Server,Server Message Block (SMB),445,Tcp
Site Server < -- > Software Update Point,Hypertext Transfer Protocol (HTTP),80,Tcp
Site Server < -- > Software Update Point,Secure Hypertext Transfer Protocol (HTTPS),443,Tcp
Site Server < -- > Software Update Point,Server Message Block (SMB),445,Tcp
Site Server < -- > Software Update Point,Windows Server Update Services,8530,Tcp
Site Server < -- > Software Update Point,Secure Windows Server Update Services,8531,Tcp
Site Server < -- > State Migration Point,RPC Endpoint Mapper,135,Tcp
Site Server < -- > State Migration Point,Server Message Block (SMB),445,Tcp
SMS Provider -- > SQL Server,SQL over TCP,1433,Tcp
Software Update Point -- > Internet,Hypertext Transfer Protocol (HTTP),80,Tcp
Software Update Point -- > Upstream WSUS Server,Hypertext Transfer Protocol (HTTP),80,Tcp
Software Update Point -- > Upstream WSUS Server,Secure Hypertext Transfer Protocol (HTTPS),443,Tcp
Software Update Point -- > Upstream WSUS Server,Windows Server Update Services,8530,Tcp
Software Update Point -- > Upstream WSUS Server,Secure Windows Server Update Services,8531,Tcp
SQL Server --> SQL Server,SQL over TCP,1433,Tcp
SQL Server --> SQL Server,SQL Server Service Broker,4022,Tcp
State Migration Point -- > SQL Server,SQL over TCP,1433,Tcp
Site Server -- > DNS Server,Domain Name System (DNS),53,Tcp
Site Server -- > Site system,NetBIOS Session Service,139,Tcp
