productId,productDisplayName,publisherDisplayName
70ae5c69-0f51-db23-1f0d-3720b7796e50,AVS Image Converter,Ascensio System SIA
67f0f868-162c-7110-0f18-35e15581adc8,AVS Media Player,Ascensio System SIA
cd49d87e-1c72-6b53-f2ee-36b96c57f50a,AWS SAM command line interface,Amazon
55b3fd4c-ba50-138a-975e-370f7b7195fe,AWS Session Manager Plugin,Amazon Web Services
a033f4c4-da81-2776-f3fe-371b324b7ced,AxCrypt,AxCrypt AB
e8f6043f-b38b-1276-ba9d-372fd827f1c6,Axure RP,Axure
0b18a767-e4ab-8902-de39-364f8ceb04af,Azure Functions Core Tools,Microsoft
7dd2de53-e093-a7ec-753f-3708bc0ba5e8,Bambu Studio,Bambu Lab
62a1683d-24be-701c-61bf-372dad971104,BandiView,Bandisoft
6f12ea58-c8d6-0b44-ba51-363cad26b0d1,BCF Manager for Tekla,KUBUS BV
e2b3036d-a153-0251-2d5d-372c053a37ec,Beam Studio,"FLUX, Inc."
c91a71da-2049-3885-4717-36d2ec794265,Beats Winlogbeat,Elasticsearch B.V.
80320923-48fa-675b-5a33-3655fbe4bd0c,Belgium e-ID viewer,Belgian Government
3d75daff-d479-0479-09f0-35e1557b29bb,Beyond Compare,"Scooter Software, Inc."
50d21b9a-d784-f0d1-73bf-36e2d36f1c05,Beyond Identity,Beyond Identity
6187f9dd-a7d5-a72e-ccb7-36f559d8949b,BleachBit,Andrew Ziem
8b2671a4-9816-cf68-20c4-35e15596c94e,Blender,Blender Foundation
55776e43-e015-aafb-51c0-35e155c4c60b,BlueJeans 2,Blue Jeans
8652ae04-91ae-4b25-b4a0-3626acd53999,Box CLI,Box
cc6504f0-1879-6486-5bf5-35e155ce8210,Box Drive,Box
727111c6-0722-1d47-010b-3684eef9d49a,Brady Workstation,Brady Corporation
fdc2efaf-9aca-e1f2-3940-36f81c5205cc,BREAK PRO,Ergo Pro Oy
08557315-3fc1-9d37-a255-3673dff3049e,Bria Enterprise,CounterPath Corporation
e016eba3-c071-9a9b-3161-37129c7bd8c8,Bridge Designer 2016,Stephen J. Ressler
7b666b28-87dd-80e2-3831-37004a73a6d4,BrightAuthor connected,BrightSign LLC
6e038fb2-36c6-3f70-6dd5-37306e6181ce,BrowserStackLocal,BrowserStack
32e967de-834d-3a0b-03d0-36ff8eb220bd,Bulk Crap Uninstaller,Klocman
56d8abb0-11cd-7ea1-2857-35e155a039a2,Bullzip PDF to Word,Bullzip
8bbcd157-55f3-85c1-0275-35e1557354dc,BurnAware Free,Burnaware
810af46f-8981-66d7-cc2f-36258775b647,Burp Suite Community Edition,PortSwigger
9103117a-dc8f-1e54-6c10-3637cd4d7893,Burp Suite Professional Edition,PortSwigger
8b663fc8-2995-afce-d109-36e5f9777c42,Business Tax Software BLR,National Taxation Bureau Taiwan
4c003662-ff6f-1c37-64cd-36b4eb379a1f,Bytello Share,Bytello
98ee5982-fd4c-b56c-0b83-35e1557d2c46,Calibre,Kovid Goyal
a804eb9e-a0ec-6e7b-a822-37240a569833,Calibrite Profiler,Calibrite
bdcc2320-7049-c2d8-5035-36e56db2453f,Camtasia 2018,TechSmith Corporation
2e4194f1-72dc-81ea-59ed-364284afbce7,Camtasia Studio 2019,TechSmith Corporation
aedb3805-7b68-00c6-3a4f-35e155b0ec3b,Caphyon Advanced Installer,Caphyon
3385f294-b06c-63e9-3573-36c6cf70660d,Capture One 20,Capture One
5b755f57-9867-41aa-05ff-36c6ce0380d4,Capture One 22,Capture One
cf508be6-e84e-b70f-a5a8-36e0aafefc13,Cato Client,Cato Networks
fb617f15-1af6-0ec8-5425-36a727096d8f,Causasoft ExhibitManager,Causasoft
645c229a-db99-a41d-a83f-373193ec2474,Certify The Web,Webprofusion Pty Ltd
598c764f-7e9b-3ab9-88fc-36218b985e39,Charles,XK72 Ltd
48652783-dc11-b49c-eaa6-372b5493064d,Chatbox,Benn Huang
33b09027-7de4-be08-4ce7-36139ccb9273,Chef Workstation for Windows,"Chef Software, Inc."
26994af1-3caf-7a96-3b3c-364eb29b6615,Cisco Jabber 14,"Cisco Systems, Inc."
7a9a9da4-05ed-0dc1-2f29-3734d0176189,Cisco Jabber 15,"Cisco Systems, Inc."
8cddceb9-967a-03cb-000f-36cb16ae9527,Cisco JVDI Agent 12,"Cisco Systems, Inc."
a3a0ccf7-4513-b388-87f4-361b0e13236e,Cisco JVDI Agent 14,"Cisco Systems, Inc."
ff75a934-d9f3-38b6-ab6a-3734f403298a,Cisco JVDI Agent 15,"Cisco Systems, Inc."
b78b884d-d357-f3a3-5eb9-35e155d06b8d,Cisco Webex Meetings,Cisco Webex LLC
498136e5-dc34-883b-3e5a-35f56785aab2,Cisco Webex Productivity Tools,Cisco Webex LLC
37fd8278-44e8-c65e-0f9a-35e155827efc,Cisco WebEx Recorder and Player,Cisco Webex LLC
5952dbc0-760f-81a2-17a8-35e1558cbaa6,Cisco WebEx Recording Editor,Cisco Webex LLC
b8746cbc-5cef-a241-5eaf-35e155d06761,Cisco Webex Teams,"Cisco Systems, Inc."
e5a7995d-2277-4b67-0738-35e15578bf3b,Citrix Receiver,Citrix
95f9a28d-74c1-7d93-5138-35e155c48347,Citrix Workspace app,Citrix
46da3846-44c0-6f5c-19ab-3613d392a27a,Citrix Workspace app LTSR,Citrix
6117ebf8-2606-d6ed-a4af-36a3f8158d1c,Class,"Class Technologies, Inc."
7b025907-ab70-b192-100a-35e155835847,Classic Shell,Ivo Beltchev
9ee6e604-cfdb-625f-cb45-36febe7d3cbf,ClassPoint,Inknoe
c1459b01-05e2-32c3-582e-36fbf703d719,ClipboardFusion,Binary Fortress Software
ff356c06-b227-5f17-0e3a-36ca49546245,ClockAssist,ClockAssist
2363e522-07a7-37a0-d3f6-372d9c2c6e4a,Clockify,Cake.com Inc.
bafd96dc-b632-f011-33cd-367804a1cd3b,Cloud Drive Mapper,IAM Technology Group Ltd
d297a74e-ed12-159f-31f0-35e155a92ac6,CloudCompare,Daniel Girardeau-Montaut
59e97b4d-117f-f984-4201-361c6b66f1d3,Cloudflare WARP,"Cloudflare, Inc."
376f181b-452b-6b5e-c3fa-36f486abbe34,CloudShow,Binary Fortress Software
21f2beaf-7183-8709-f79c-3694a8c0cbe8,CMake,2BrightSparks Ptd Ltd
18cbf4e0-e818-8a8e-26a9-3721ad7d4166,CodeMeter Runtime Kit,Wibu Systems
5a90abb3-edf4-c267-f888-36c9bb8c3ed7,Colour Contrast Analyser,TPGi
22f24ecc-63cd-8b41-65b0-36fb3c832576,ComponentAgro CHECK PC2Web,ComponentAgro B.V.
3ee99f71-bb47-3f10-5c53-35e155cebe2d,CPU-Z,"CPUID, Inc"
9017c633-fc69-82e6-b551-36a71dc07a44,Creative Force Kelvin,Creative Force
